ticker,ccp,tag
aaww,CY2013,"290     RevenueFromRelatedParties
2141                     Revenues
Name: (aaww, CY2013), dtype: object"
aaww,CY2014,"265     RevenueFromRelatedParties
1639                     Revenues
Name: (aaww, CY2014), dtype: object"
aaww,CY2015,"238     RevenueFromRelatedParties
1486                     Revenues
Name: (aaww, CY2015), dtype: object"
aaww,CY2016,"208     RevenueFromRelatedParties
1617                     Revenues
Name: (aaww, CY2016), dtype: object"
abbv,CY2014,"175      RoyaltyRevenue
1961    SalesRevenueNet
Name: (abbv, CY2014), dtype: object"
abce,CY2013,"632     ProfessionalFees
3099            Revenues
Name: (abce, CY2013), dtype: object"
abce,CY2014,"582     ProfessionalFees
1936            Revenues
Name: (abce, CY2014), dtype: object"
abce,CY2016,"151     FeesAndCommissions
467       ProfessionalFees
1883              Revenues
Name: (abce, CY2016), dtype: object"
abce,CY2017,"439     ProfessionalFees
1967            Revenues
Name: (abce, CY2017), dtype: object"
abce,CY2018,"435     ProfessionalFees
1614            Revenues
Name: (abce, CY2018), dtype: object"
abce,CY2019,"404     ProfessionalFees
1326            Revenues
Name: (abce, CY2019), dtype: object"
abce,CY2020,"407     ProfessionalFees
1217            Revenues
Name: (abce, CY2020), dtype: object"
abce,CY2021,"380     ProfessionalFees
1144            Revenues
Name: (abce, CY2021), dtype: object"
abce,CY2022,"332     ProfessionalFees
1044            Revenues
Name: (abce, CY2022), dtype: object"
abeo,CY2010,"193     LicensesRevenue
147      RoyaltyRevenue
2092    SalesRevenueNet
Name: (abeo, CY2010), dtype: object"
abeo,CY2011,"239     LicensesRevenue
182      RoyaltyRevenue
2365    SalesRevenueNet
Name: (abeo, CY2011), dtype: object"
abeo,CY2012,"239     LicensesRevenue
198      RoyaltyRevenue
2308    SalesRevenueNet
Name: (abeo, CY2012), dtype: object"
abeo,CY2013,"233     LicensesRevenue
192      RoyaltyRevenue
2270    SalesRevenueNet
Name: (abeo, CY2013), dtype: object"
abeo,CY2014,"226    LicensesRevenue
176     RoyaltyRevenue
329    SalesRevenueNet
Name: (abeo, CY2014), dtype: object"
abeo,CY2015,"213     LicensesRevenue
157      RoyaltyRevenue
2083    SalesRevenueNet
Name: (abeo, CY2015), dtype: object"
abeo,CY2016,"190    LicensesRevenue
383           Revenues
140     RoyaltyRevenue
Name: (abeo, CY2016), dtype: object"
abeo,CY2017,"156                                      LicensesRevenue
274    RevenueFromContractWithCustomerExcludingAssess...
118                                       RoyaltyRevenue
Name: (abeo, CY2017), dtype: object"
